"Full ID","Material Name","Material Composition","Molecule Name","Site","orientation","Adsorption Energy (eV)","Gibbs free energy (eV)"
"C2DB_W-N-2D_W4N3_C2DB-11836_H_bridge_0_along_z","C2DB_W-N-2D_W4N3_C2DB-11836","W4N3","H","bridge_0","ALONG_Z","1.429","1.794"
"C2DB_W-N-2D_W4N3_C2DB-11836_H_hollow_0_along_z","C2DB_W-N-2D_W4N3_C2DB-11836","W4N3","H","hollow_0","ALONG_Z","-0.553","-0.188"
"C2DB_W-N-2D_W4N3_C2DB-11836_H_hollow_1_along_z","C2DB_W-N-2D_W4N3_C2DB-11836","W4N3","H","hollow_1","ALONG_Z","2.375","2.740"
"C2DB_W-N-2D_W4N3_C2DB-11836_H_ontop_0_along_z","C2DB_W-N-2D_W4N3_C2DB-11836","W4N3","H","ontop_0","ALONG_Z","1.429","1.794"
"MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA_H_bridge_0_along_z","MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA","W2N3","H","bridge_0","ALONG_Z","-0.151","0.214"
"MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA_H_hollow_0_along_z","MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA","W2N3","H","hollow_0","ALONG_Z","-2.123","-1.758"
"MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA_H_hollow_1_along_z","MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA","W2N3","H","hollow_1","ALONG_Z","0.574","0.939"
"MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA_H_ontop_0_along_z","MaterialProject_W-N-MP-2D_W2N3_mp-1079251-GGA","W2N3","H","ontop_0","ALONG_Z","-0.151","0.214"
"USPEX_FIXED_W-N-2D_187_H_bridge_0_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","bridge_0","ALONG_Z","-0.358","0.007"
"USPEX_FIXED_W-N-2D_187_H_bridge_1_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","bridge_1","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_187_H_bridge_2_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","bridge_2","ALONG_Z","-0.360","0.005"
"USPEX_FIXED_W-N-2D_187_H_bridge_3_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","bridge_3","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_187_H_hollow_0_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","hollow_0","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_187_H_hollow_1_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","hollow_1","ALONG_Z","0.766","1.131"
"USPEX_FIXED_W-N-2D_187_H_ontop_0_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","ontop_0","ALONG_Z","0.767","1.132"
"USPEX_FIXED_W-N-2D_187_H_ontop_1_along_z","USPEX_FIXED_W-N-2D_187","W2N3","H","ontop_1","ALONG_Z","-0.360","0.005"
"USPEX_FIXED_W-N-2D_220_H_bridge_0_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","bridge_0","ALONG_Z","-0.358","0.007"
"USPEX_FIXED_W-N-2D_220_H_bridge_1_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","bridge_1","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_220_H_bridge_2_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","bridge_2","ALONG_Z","-0.360","0.005"
"USPEX_FIXED_W-N-2D_220_H_bridge_3_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","bridge_3","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_220_H_hollow_0_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","hollow_0","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_220_H_hollow_1_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","hollow_1","ALONG_Z","0.766","1.131"
"USPEX_FIXED_W-N-2D_220_H_ontop_0_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","ontop_0","ALONG_Z","0.767","1.132"
"USPEX_FIXED_W-N-2D_220_H_ontop_1_along_z","USPEX_FIXED_W-N-2D_220","W2N3","H","ontop_1","ALONG_Z","-0.360","0.005"
"USPEX_FIXED_W-N-2D_287_H_bridge_0_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","bridge_0","ALONG_Z","-0.358","0.007"
"USPEX_FIXED_W-N-2D_287_H_bridge_1_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","bridge_1","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_287_H_bridge_2_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","bridge_2","ALONG_Z","-0.360","0.005"
"USPEX_FIXED_W-N-2D_287_H_bridge_3_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","bridge_3","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_287_H_hollow_0_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","hollow_0","ALONG_Z","-0.359","0.006"
"USPEX_FIXED_W-N-2D_287_H_hollow_1_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","hollow_1","ALONG_Z","0.766","1.131"
"USPEX_FIXED_W-N-2D_287_H_ontop_0_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","ontop_0","ALONG_Z","0.767","1.132"
"USPEX_FIXED_W-N-2D_287_H_ontop_1_along_z","USPEX_FIXED_W-N-2D_287","W2N3","H","ontop_1","ALONG_Z","-0.360","0.005"
"USPEX_FIXED_W-N-2D_403_H_bridge_0_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","bridge_0","ALONG_Z","-0.278","0.087"
"USPEX_FIXED_W-N-2D_403_H_bridge_1_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","bridge_1","ALONG_Z","-1.188","-0.823"
"USPEX_FIXED_W-N-2D_403_H_bridge_2_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","bridge_2","ALONG_Z","-0.277","0.088"
"USPEX_FIXED_W-N-2D_403_H_bridge_3_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","bridge_3","ALONG_Z","-1.188","-0.823"
"USPEX_FIXED_W-N-2D_403_H_hollow_0_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","hollow_0","ALONG_Z","N/A","N/A"
"USPEX_FIXED_W-N-2D_403_H_hollow_1_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","hollow_1","ALONG_Z","-1.187","-0.822"
"USPEX_FIXED_W-N-2D_403_H_ontop_0_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","ontop_0","ALONG_Z","-1.188","-0.823"
"USPEX_FIXED_W-N-2D_403_H_ontop_1_along_z","USPEX_FIXED_W-N-2D_403","W3N","H","ontop_1","ALONG_Z","-0.276","0.089"
"USPEX_VARIABLE_W-N-2D_1042_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_1042","W3N4","H","bridge_0","ALONG_Z","-1.924","-1.559"
"USPEX_VARIABLE_W-N-2D_1042_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_1042","W3N4","H","bridge_1","ALONG_Z","-1.994","-1.629"
"USPEX_VARIABLE_W-N-2D_1042_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_1042","W3N4","H","bridge_2","ALONG_Z","-1.924","-1.559"
"USPEX_VARIABLE_W-N-2D_1042_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_1042","W3N4","H","hollow_0","ALONG_Z","-1.983","-1.618"
"USPEX_VARIABLE_W-N-2D_1042_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_1042","W3N4","H","hollow_1","ALONG_Z","-0.008","0.357"
"USPEX_VARIABLE_W-N-2D_1042_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_1042","W3N4","H","ontop_0","ALONG_Z","-1.918","-1.553"
"USPEX_VARIABLE_W-N-2D_125_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","bridge_0","ALONG_Z","1.425","1.790"
"USPEX_VARIABLE_W-N-2D_125_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","bridge_1","ALONG_Z","-0.361","0.004"
"USPEX_VARIABLE_W-N-2D_125_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","bridge_2","ALONG_Z","1.451","1.816"
"USPEX_VARIABLE_W-N-2D_125_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","hollow_0","ALONG_Z","-0.361","0.004"
"USPEX_VARIABLE_W-N-2D_125_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","hollow_1","ALONG_Z","0.761","1.126"
"USPEX_VARIABLE_W-N-2D_125_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","ontop_0","ALONG_Z","0.762","1.127"
"USPEX_VARIABLE_W-N-2D_125_H_ontop_1_along_z","USPEX_VARIABLE_W-N-2D_125","W2N3","H","ontop_1","ALONG_Z","-0.360","0.005"
"USPEX_VARIABLE_W-N-2D_2175_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_2175","WN2","H","bridge_0","ALONG_Z","-1.658","-1.293"
"USPEX_VARIABLE_W-N-2D_2175_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_2175","WN2","H","hollow_0","ALONG_Z","-1.656","-1.291"
"USPEX_VARIABLE_W-N-2D_2175_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_2175","WN2","H","hollow_1","ALONG_Z","0.824","1.189"
"USPEX_VARIABLE_W-N-2D_2175_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_2175","WN2","H","ontop_0","ALONG_Z","-1.657","-1.292"
"USPEX_VARIABLE_W-N-2D_2403_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","bridge_0","ALONG_Z","-0.752","-0.387"
"USPEX_VARIABLE_W-N-2D_2403_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","bridge_1","ALONG_Z","0.331","0.696"
"USPEX_VARIABLE_W-N-2D_2403_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","bridge_2","ALONG_Z","0.470","0.835"
"USPEX_VARIABLE_W-N-2D_2403_H_bridge_3_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","bridge_3","ALONG_Z","N/A","N/A"
"USPEX_VARIABLE_W-N-2D_2403_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","hollow_0","ALONG_Z","-0.753","-0.388"
"USPEX_VARIABLE_W-N-2D_2403_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","hollow_1","ALONG_Z","-0.742","-0.377"
"USPEX_VARIABLE_W-N-2D_2403_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","ontop_0","ALONG_Z","-0.759","-0.394"
"USPEX_VARIABLE_W-N-2D_2403_H_ontop_1_along_z","USPEX_VARIABLE_W-N-2D_2403","W3N2","H","ontop_1","ALONG_Z","0.471","0.836"
"USPEX_VARIABLE_W-N-2D_2971_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","bridge_0","ALONG_Z","-2.022","-1.657"
"USPEX_VARIABLE_W-N-2D_2971_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","bridge_1","ALONG_Z","-2.014","-1.649"
"USPEX_VARIABLE_W-N-2D_2971_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","bridge_2","ALONG_Z","-2.048","-1.683"
"USPEX_VARIABLE_W-N-2D_2971_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","hollow_0","ALONG_Z","-1.551","-1.186"
"USPEX_VARIABLE_W-N-2D_2971_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","hollow_1","ALONG_Z","-2.019","-1.654"
"USPEX_VARIABLE_W-N-2D_2971_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","ontop_0","ALONG_Z","-2.077","-1.712"
"USPEX_VARIABLE_W-N-2D_2971_H_ontop_1_along_z","USPEX_VARIABLE_W-N-2D_2971","W5N3","H","ontop_1","ALONG_Z","-1.602","-1.237"
"USPEX_VARIABLE_W-N-2D_3035_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","bridge_0","ALONG_Z","1.675","2.040"
"USPEX_VARIABLE_W-N-2D_3035_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","bridge_1","ALONG_Z","0.798","1.163"
"USPEX_VARIABLE_W-N-2D_3035_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","bridge_2","ALONG_Z","0.566","0.931"
"USPEX_VARIABLE_W-N-2D_3035_H_bridge_3_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","bridge_3","ALONG_Z","0.821","1.186"
"USPEX_VARIABLE_W-N-2D_3035_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","hollow_0","ALONG_Z","0.585","0.950"
"USPEX_VARIABLE_W-N-2D_3035_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","hollow_1","ALONG_Z","0.587","0.952"
"USPEX_VARIABLE_W-N-2D_3035_H_hollow_2_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","hollow_2","ALONG_Z","0.794","1.159"
"USPEX_VARIABLE_W-N-2D_3035_H_hollow_3_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","hollow_3","ALONG_Z","0.805","1.170"
"USPEX_VARIABLE_W-N-2D_3035_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","ontop_0","ALONG_Z","0.590","0.955"
"USPEX_VARIABLE_W-N-2D_3035_H_ontop_1_along_z","USPEX_VARIABLE_W-N-2D_3035","W2N5","H","ontop_1","ALONG_Z","0.829","1.194"
"USPEX_VARIABLE_W-N-2D_3596_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","bridge_0","ALONG_Z","-0.731","-0.366"
"USPEX_VARIABLE_W-N-2D_3596_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","bridge_1","ALONG_Z","-0.732","-0.367"
"USPEX_VARIABLE_W-N-2D_3596_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","bridge_2","ALONG_Z","-0.731","-0.366"
"USPEX_VARIABLE_W-N-2D_3596_H_bridge_3_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","bridge_3","ALONG_Z","-0.732","-0.367"
"USPEX_VARIABLE_W-N-2D_3596_H_bridge_4_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","bridge_4","ALONG_Z","-0.731","-0.366"
"USPEX_VARIABLE_W-N-2D_3596_H_bridge_5_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","bridge_5","ALONG_Z","-0.731","-0.366"
"USPEX_VARIABLE_W-N-2D_3596_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","hollow_0","ALONG_Z","-0.732","-0.367"
"USPEX_VARIABLE_W-N-2D_3596_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","hollow_1","ALONG_Z","-0.732","-0.367"
"USPEX_VARIABLE_W-N-2D_3596_H_hollow_2_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","hollow_2","ALONG_Z","-0.731","-0.366"
"USPEX_VARIABLE_W-N-2D_3596_H_hollow_3_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","hollow_3","ALONG_Z","-0.732","-0.367"
"USPEX_VARIABLE_W-N-2D_3596_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","ontop_0","ALONG_Z","-0.732","-0.367"
"USPEX_VARIABLE_W-N-2D_3596_H_ontop_1_along_z","USPEX_VARIABLE_W-N-2D_3596","W2N","H","ontop_1","ALONG_Z","-0.321","0.044"
"USPEX_VARIABLE_W-N-2D_4683_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","bridge_0","ALONG_Z","-1.181","-0.816"
"USPEX_VARIABLE_W-N-2D_4683_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","bridge_1","ALONG_Z","-0.262","0.103"
"USPEX_VARIABLE_W-N-2D_4683_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","bridge_2","ALONG_Z","-0.261","0.104"
"USPEX_VARIABLE_W-N-2D_4683_H_bridge_3_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","bridge_3","ALONG_Z","-1.180","-0.815"
"USPEX_VARIABLE_W-N-2D_4683_H_bridge_4_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","bridge_4","ALONG_Z","-0.261","0.104"
"USPEX_VARIABLE_W-N-2D_4683_H_bridge_5_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","bridge_5","ALONG_Z","-1.181","-0.816"
"USPEX_VARIABLE_W-N-2D_4683_H_hollow_0_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","hollow_0","ALONG_Z","-1.181","-0.816"
"USPEX_VARIABLE_W-N-2D_4683_H_hollow_1_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","hollow_1","ALONG_Z","-1.179","-0.814"
"USPEX_VARIABLE_W-N-2D_4683_H_hollow_2_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","hollow_2","ALONG_Z","-1.179","-0.814"
"USPEX_VARIABLE_W-N-2D_4683_H_hollow_3_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","hollow_3","ALONG_Z","-1.179","-0.814"
"USPEX_VARIABLE_W-N-2D_4683_H_ontop_0_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","ontop_0","ALONG_Z","-1.179","-0.814"
"USPEX_VARIABLE_W-N-2D_4683_H_ontop_1_along_z","USPEX_VARIABLE_W-N-2D_4683","W3N","H","ontop_1","ALONG_Z","-0.257","0.108"
"USPEX_VARIABLE_W-N-2D_4855_H_bridge_0_along_z","USPEX_VARIABLE_W-N-2D_4855","WN","H","bridge_0","ALONG_Z","0.255","0.620"
"USPEX_VARIABLE_W-N-2D_4855_H_bridge_1_along_z","USPEX_VARIABLE_W-N-2D_4855","WN","H","bridge_1","ALONG_Z","0.256","0.621"
"USPEX_VARIABLE_W-N-2D_4855_H_bridge_2_along_z","USPEX_VARIABLE_W-N-2D_4855","WN","H","bridge_2","ALONG_Z","0.253","0.618"
"USPEX_VARIABLE_W-N-2D_4855_H_bridge_3_along_z","USPEX_VARIABLE_W-N-2D_4855","WN","H","bridge_3","ALONG_Z","0.253","0.618"
"USPEX_VARIABLE_W-N-2D_4855_H_bridge_4_along_z","USPEX_VARIABLE_W-N-2D_4855","WN","H","bridge_4","ALONG_Z","0.253","0.618"
