Material                   , Composition, Energy Above Hull (eV/atom), Surface Area (A^2), Surface Area (cm^2)  , Site    , Orientation, Adsorption Complex                            , Adsorption Energy (eV), Gibbs free energy (eV), i0
C2DB_W-N-2D_W4N3_C2DB-11836, W4N3       ,       0.0                  ,  68.88135184207259, 6.888135184207259e-15, bridge_0, ALONG_Z    , C2DB_W-N-2D_W4N3_C2DB-11836_H_bridge_0_along_z, 1.428980515000        , 1.793980515000        , 
C2DB_W-N-2D_W4N3_C2DB-11836, W4N3       ,       0.0                  ,  68.88135184207259, 6.888135184207259e-15, hollow_0, ALONG_Z    , C2DB_W-N-2D_W4N3_C2DB-11836_H_hollow_0_along_z, -0.553251055000       , -0.188251055000       , 
C2DB_W-N-2D_W4N3_C2DB-11836, W4N3       ,       0.0                  ,  68.88135184207259, 6.888135184207259e-15, hollow_1, ALONG_Z    , C2DB_W-N-2D_W4N3_C2DB-11836_H_hollow_1_along_z, 2.374771965000        , 2.739771965000        , 
C2DB_W-N-2D_W4N3_C2DB-11836, W4N3       ,       0.0                  ,  68.88135184207259, 6.888135184207259e-15, ontop_0 , ALONG_Z    , C2DB_W-N-2D_W4N3_C2DB-11836_H_ontop_0_along_z , 1.428890375000        , 1.793890375000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, bridge_0, ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_bridge_0_along_z     , -0.358393515000       , 0.006606485000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, bridge_1, ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_bridge_1_along_z     , -0.358748735000       , 0.006251265000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, bridge_2, ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_bridge_2_along_z     , -0.359604185000       , 0.005395815000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, bridge_3, ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_bridge_3_along_z     , -0.359169365000       , 0.005830635000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, hollow_0, ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_hollow_0_along_z     , -0.359137475000       , 0.005862525000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, hollow_1, ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_hollow_1_along_z     , 0.765948425000        , 1.130948425000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, ontop_0 , ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_ontop_0_along_z      , 0.766624725000        , 1.131624725000        , 
USPEX_FIXED_W-N-2D_287     , W2N3       ,       0.0                  ,  69.8460537649265 , 6.984605376492649e-15, ontop_1 , ALONG_Z    , USPEX_FIXED_W-N-2D_287_H_ontop_1_along_z      , -0.359895165000       , 0.005104835000        , 
USPEX_VARIABLE_W-N-2D_1042 , W3N4       ,       0.0                  ,  66.2676407181155 , 6.62676407181155e-15 , bridge_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_1042_H_bridge_0_along_z , -1.923990535000       , -1.558990535000       , 
USPEX_VARIABLE_W-N-2D_1042 , W3N4       ,       0.0                  ,  66.2676407181155 , 6.62676407181155e-15 , bridge_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_1042_H_bridge_1_along_z , -1.993622995000       , -1.628622995000       , 
