"Composition","Source ID","Source Type","Full Name","Structure ID","Energy Above Hull (eV/atom)","Total Energy (eV/atom)","Exfoliation Energy (eV/atom)","Exfoliation Energy (eV/A^2)","Interlayer Distance (Å)","PBE Band Gap (eV)","Is Most Stable in Composition","PBE Is Metal","Is PD Element","Is Magnetic","Min Phonon Frequency (THz)","Is Stable By Phonons","Crystal System","Space Group"
"W4N3","W-N-2D","C2DB","C2DB_W-N-2D_W4N3_C2DB-11836","C2DB_W-N-2D_W4N3_C2DB-11836_Relaxed_Relax_Positions","0.000","-10.926","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","trigonal","P-3m1"
"W3N","W-N-2D","USPEX_FIXED","USPEX_FIXED_W-N-2D_235","USPEX_FIXED_W-N-2D_235_Relaxed_Relax_Positions","0.010","-11.595","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","P2_1/m"
"W3N","W-N-2D","USPEX_FIXED","USPEX_FIXED_W-N-2D_255","USPEX_FIXED_W-N-2D_255_Relaxed_Relax_Positions","0.010","-11.595","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","P2_1/m"
"W3N","W-N-2D","USPEX_FIXED","USPEX_FIXED_W-N-2D_294","USPEX_FIXED_W-N-2D_294_Relaxed_Relax_Positions","0.010","-11.595","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","P2_1/m"
"W3N","W-N-2D","USPEX_FIXED","USPEX_FIXED_W-N-2D_403","USPEX_FIXED_W-N-2D_403_Relaxed_Relax_Positions","0.010","-11.595","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","P2_1/m"
"W2N3","W-N-2D","USPEX_VARIABLE","USPEX_VARIABLE_W-N-2D_125","USPEX_VARIABLE_W-N-2D_125_Relaxed_Relax_Positions","0.000","-10.156","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","tetragonal","P-4m2"
"W3N2","W-N-2D","USPEX_VARIABLE","USPEX_VARIABLE_W-N-2D_2403","USPEX_VARIABLE_W-N-2D_2403_Relaxed_Relax_Positions","0.023","-11.021","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","P2_1/m"
"W","W-N-2D","USPEX_VARIABLE","USPEX_VARIABLE_W-N-2D_2637","USPEX_VARIABLE_W-N-2D_2637_Relaxed_Relax_Positions","0.000","-12.517","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","triclinic","P-1"
"W2N","W-N-2D","USPEX_VARIABLE","USPEX_VARIABLE_W-N-2D_3596","USPEX_VARIABLE_W-N-2D_3596_Relaxed_Relax_Positions","0.019","-11.281","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","C2/m"
"W3N","W-N-2D","USPEX_VARIABLE","USPEX_VARIABLE_W-N-2D_4683","USPEX_VARIABLE_W-N-2D_4683_Relaxed_Relax_Positions","0.009","-11.595","N/A","N/A","N/A","N/A","true","N/A","false","false","-0.000","true","monoclinic","P2_1/m"
